Job Title,Job Experience Required,Key Skills,Role Category,Location,Functional Area,Industry,Role,Salary
 Looking For Trained Freshers in MS Dynamics CRM- Hyderabad,0 - 3 yrs, C#/ MS Dynamics CRM/ ms dynamics/ Microsoft Dynamics,Programming & Design,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,6493
 Job Openings Kotak Life/ Max Life/ Aditya Birla Health for Sales Mgr,3 - 7 yrs, relationship manager/ brokers/ direct sale/ direct marketing/ insurance sales/ channel sales/ sales/ Territory Sales Manager/ Marketing Executive/ sales manager/ business development manager,Retail/Personal Banking,"Bhilai/Bhillai,Bhilwara,Bhopal,Bhubaneshwar,Bikaner,Bilaspur,Bokaro,Chandigarh,Burdwan","Financial Services , Banking , Investments , Insurance",Insurance,Sales Officer,5623
 Business Development / Corporate Sales,0 - 4 yrs, business development/ lead generation/ corporate sales,Retail Sales,Delhi NCR,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager,1564
 Business Development Manager (BDM),2 - 5 yrs, selling/ relationship building/ managed services/ closing/ market research/ sales/ it services/ business development manager/ contract management,Retail Sales,"Delhi,Delhi","Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager,5439
 QA Executive,2 - 5 yrs, QA Executive,QA/Testing/Documentation,Hyderabad,IT Software - QA & Testing,"Pharma, Biotech, Clinical Research",Quality Assurance/Quality Control Executive,5434
 Back End Java Developer - Restful Services/soap,6 - 8 yrs, JPA/ JSON/ Java EE/ SOAP/ Core Java/ JMS/ Weblogic/ SQL/ HTML/ JUnit,Programming & Design,Bengaluru,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",Software Developer,4114
 Product Engineer,4 - 9 yrs, Front end/ Architecting/ Continuous improvement/ it/ Conceptualization/ development/ SIDE,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,4897
 Opening For Articulate tool Developer - Articulate / Captivate)chennai,3 - 5 yrs, Articulate Storyline,Programming & Design,Chennai,"IT Software - Application Programming , Maintenance","Animation, Gaming",Graphic/Web Designer,4626
 Urgent Hiring for Area Sales Manager,7 - 12 yrs, Retail Sales/ Chocolate/ ASM/ Area Sales Management/ area business manager/ FMCG/ Area Sales Manager/ confectionary,Retail Sales,"Ambala,Gurgaon","Sales , Retail , Business Development","FMCG, Foods, Beverage",Area Sales Manager,1724
 Software Engineer - C++ Development - Ooad/oops,4 - 9 yrs, debugging/ Java/ OOP/ OOAD/ C++/ .Net/ OOPS/ C#/ Multithreading/ UML,Programming & Design,Chennai,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,4562
 Hiring for Tech Pm/scrum Master for Hyderabad Location,8 - 10 yrs, Scrum Master/ JPA/ Project Management/ Java/ Hibernate/ SOAP/ JDBC/ Microservices/ Agile/ Rest,Project Management,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Project Manager-IT/Software,5286
 US Based Financial Company Looking For Java API Engineers For HYD,6 - 8 yrs, Banking/ Java/ core java/ java api/ finance/ microservices/ j2ee/ API,Programming & Design,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,5198
 Strong Partner Ecosystem,2 - 7 yrs, ISO 27001/ Edge/ GIS/ information system/ process/ ISO 9001/ GIS software/ Management/ HR/ Information security management,Programming & Design,Noida,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Project Lead,4494
 Wordpress Web Developer,3 - 6 yrs,,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",Software Developer,4689
 Senior Executive- Contract Logistics- Bom WP-A,2 - 5 yrs, Quality Improvement/ Site Management/ Contract Logistics/ Administrative Support/ Warehouse Operations/ Staff Development/ Administration/ warehousing,Logistics,Mumbai,Purchase / Logistics / Supply Chain,"Courier, Transportation, Freight , Warehousing",Logistics Executive,3815
 Accounts Manager,2 - 3 yrs, invoice/ payroll/ filing/ coaching/ pf/ service industry/ tally/ esi/ tds/ returns,Accounts,Mumbai,"Accounts , Finance , Tax , Company Secretary , Audit","Security, Law Enforcement",Accounts Executive/Accountant,3252
 Technical Sales Executive with fixed pay & lucrative incentives/UK Inb,0 - 3 yrs, Inbound calls/ Antivirus/ Technical support/ Medical/ pay/ Spot/ Comp/ Outbound/ Sales,Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical),3087
 nutanix sme ,15 - 20 yrs, DNS/ Shell scripting/ Monitoring/ DHCP/ Open source/ Archiving/ VMS/ Virtualization/ Python/ Troubleshooting,Technical Support,Bengaluru,"IT Hardware , Technical Support , Telecom Engineering","IT-Software, Software Services",Technical Support Manager,1965
 System Architect - 3g/4g Wireless Network Architecture & Migration,10 - 16 yrs, Radio Access Network/ 3G/ PhD/ System Architect/ 4G/ 3GPP/ LTE/ IEEE,Programming & Design,Mumbai,"IT Software - Network Administration , Security","IT-Software, Software Services",Technical Architect,3883
"Excellent Opportunity For ” Linux Device Driver ” ,for Hyderabad and Ban", 2 - 7 Years,c/ipc/embedded linux/arm processor/linux kernel/device drivers,Programming & Design," Hyderabad, Bengaluru","IT Software - Application Programming , Maintenance",IT-Software / Software Services,Software Developer,5273
 Java Developer,6 - 8 yrs, SVN/ Core Java/ JMS/ Sonar/ Weblogic/ SQL/ Oracle 11G/ XML/ Spring/ J2Ee,,Pune,Other,Other,Other,4087
 Regional Representative,0 - 3 yrs, customer interaction/ presentation/ english/ developing/ market/ strong analytical skills/ presentation skills,Institutional Sales,Noida,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager,4615
 Hiring For Record To Report,1 - 4 yrs, accounts payable/ general accounting/ fixed assets/ record to report/ general ledger,Voice,"Gurgaon,Noida","ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical),6666
 Product & Regional Sales Manager,3 - 6 yrs, Team management/ Regional sales/ Management,Retail Sales,Mumbai,"Sales , Retail , Business Development","Strategy, Management Consulting Firms",Regional Manager,6397
 Senior Manager/associate Director - Mandarin,10 - 15 yrs, Commercial Sales/ Online Sales/ Strategy Implementation/ Commercial Activities/ E - commerce/ Senior Management/ Budgeting/ Marketing,Senior Management,"Delhi,Gurgaon","Sales , Retail , Business Development","Internet, Ecommerce",Head / VP/ GM/ National Manager After Sales,3009
 ODI Developer/lead ODI Developer - RACI,5 - 10 yrs, Matrix/ ODI,Programming & Design,Mumbai,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",Software Developer,4707
 UI Developer,2 - 4 yrs, html/ javascript/ mca/ photoshop/ jquery/ mysql/ php mysql/ sql/ css/ php/ technical/ design/ software development/ web/ ajax/ application,Programming & Design,Noida,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,6928
 Assistant Manager ,5 - 8 yrs, Standard operating procedures/ Relationship building/ Process mapping/ Visa processing/ Analytical skills/ Training/ Client relationship/ Agile/ Relationship management/ Management,Voice,Gurgaon,"ITES , BPO , KPO , LPO , Customer Service , Operations","Education, Teaching, Training",Associate/Senior Associate -(NonTechnical),2117
 Android Developer,2 - 5 yrs, sdk/ testing/ eclipse/ developing/ android/ ios/ applications/ c/ xml/ application/ analytical/ programming/ btech/ xcode/ objective c/ development/ web/ server/ application development/ json/ mobile/ platforms/ iphone/ design,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,2293
 International BPO / Non Voice Process / Rotational Shift / Ahmedabad,1 - 4 yrs, csr/ voice process/ outbound process/ fresher/ bpo/ inbound process/ bpo fresher/ travel/ cse/ customer service/ cca/ international bpo/ customer support/ hotel/ voice support/ customer care/ tourism,Voice,Ahmedabad,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical),6757
 iOS Developer,2 - 5 yrs, application development/ graphics/ publishing/ bca/ b tech/ core/ b e/ ios/ animation/ b sc/ application,Programming & Design,"Chandigarh,Chandigarh",IT Software - Mobile,"IT-Software, Software Services",Software Developer,3523
 IT - Head (preferably from an NGO),15 - 20 yrs, disaster recovery/ it software/ network administration/ technical support/ data security/ networking/ support services/ license management/ information technology/ it training,,Delhi NCR,Other,"NGO, Social Services, Regulators, Industry Associations",Other,5898
 Digital Content Producer For largest Media House,3 - 8 yrs, Digital Content/ Automobile/ Production/ Content Development/ Web Content Writing,Content Development,"Bengaluru,Hyderabad","Journalism , Editing , Content","Media, Entertainment, Internet",Content Developer,3515
 Manager Holidays,6 - 10 yrs, Tour Packages/ target achievement/ negotiation skills/ Tourism/ revenue management,Retail Sales,Mumbai,"Sales , Retail , Business Development","Aviation, Aerospace, Aeronautical",Sales/Business Development Manager,6136
 Backend Developer,1 - 5 yrs, JSON/ HTTP/ Software design/ Computer science/ System design/ Backend/ Networking/ Data structures/ PHP/ Ticketing,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","Internet, Ecommerce",Software Developer,4176
 JUNIOR BIG DATA ANALYST IN,1 - 3 yrs,,Operations,Bengaluru,"ITES , BPO , KPO , LPO , Customer Service , Operations","Recruitment, Staffing",Business/EDP Analyst,2074
 Chief Engineer,11 - 15 yrs, Capital Expenditure/ Chief Engineer/ Hospitality/ Water Treatment/ HVAC/ Energy Conservation/ Maintenance,,Hyderabad,Top Management,"Travel , Hotels , Restaurants , Airlines , Railways",CEO/MD/Director,2994
 Global HR Operations Analyst,1 - 4 yrs, Management audit/ HR operations/ HR Coordinator/ Data management/ Service level/ Human resource management,HR/ Recruitment / IR,Gurgaon,"HR , Recruitment , Administration , IR","Industrial Products, Heavy Machinery",HR Executive,6377
 Compiler- Support Engineer,5 - 10 yrs, FreeBSD/ Gaming/ Linux/ Graphics/ high performance computing/ C++/ Windows OS/ Test cases/ System software,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","Telcom, ISP",Software Developer,4462
 Key Accounts Manager,0 - 0 yrs,,Advertising,Bengaluru,"Marketing , Advertising , MR , PR , Media Planning","Telcom, ISP",Client Servicing/Key Account Manager,2096
 Head Sales- Coworking Company,7 - 12 yrs, Enterprise Business/ Go - to - market Strategy/ Enterprise sales/ Field Sales/ Strategic Leadership/ Team Building/ Real Estate/ Marketing/ Sales/ Sales Strategy/ Sales Executive Activities,Senior Management,Delhi NCR,"Sales , Retail , Business Development","Real Estate, Property",Head/VP/GM/National Manager -Sales,6305
" Clubhouse Manager, Facility Manager,",2 - 5 yrs, Facility Management/ facility services,Health & Fitness,Bengaluru,Beauty / Fitness / Spa Services,Facility Management,Centre Head / Branch Head / Club Manager,3408
 IP DRG / Surgery / ED / Denials Coders,1 - 5 yrs, EM/ ed/ CPT/ coders/ surgery/ medical coding/ sds/ radiology/ icd - 10,Voice,"Chennai,Hyderabad,Trivandrum","ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical),2230
 Sales Manager - Education Sales,5 - 7 yrs, Public relations/ Market intelligence/ Sales process/ Relationship building/ CV/ Prospecting/ Branding/ Budgeting/ Market analysis,Retail Sales,Gurgaon,"Sales , Retail , Business Development","Recruitment, Staffing",Sales/Business Development Manager,2856
 HR Associate,0 - 2 yrs, Reports/ Succession Planning/ HR Policies/ Talent Acquisition/ Human Resources/ Recruitment/ Talent Management/ MIS/ ERP,HR/ Recruitment / IR,Hyderabad,"HR , Recruitment , Administration , IR","IT-Software, Software Services",HR Executive,5736
 Manager / Sr Manager - Digital Ad Sales - Ecommerce,4 - 9 yrs, ad sales/ revenue generation/ web technologies/ marketing,Corporate Sales,"Delhi NCR,Mumbai","Sales , Retail , Business Development","Internet, Ecommerce",Sales/Business Development Manager,3637
 Architect Junior/ Middle level,1 - 2 yrs, online/ co ordination/ drafting/ coordination/ team management/ loans/ quality,Architectural Services,Noida,"Architecture , Interior Design","BPO, Call Centre, ITeS",Project Architect,2577
 php developer,3 - 4 yrs, Web technologies/ English/ DOM/ SOAP/ Com/ Time/ Email/ PHP/ XML/ Written communication,Programming & Design,Gurgaon,IT Software - Other,"Recruitment, Staffing",Software Developer,4436
 Openstack Engineer / Openstack Admin with Ceph Storage,6 - 11 yrs, openstack/ puppet/ KVM/ git/ python/ jenkins/ ansible/ linux/ cloud,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",System Analyst,3679
 Sr. Software Engineer,4 - 8 yrs, Vice President/ National/ Branch/ Software/ J2Ee,Programming & Design,Noida,"IT Software - Application Programming , Maintenance","Strategy, Management Consulting Firms",Software Developer,5975
 Software Engineering- Mentor,1 - 5 yrs, Web technologies/ Front end/ Mentor/ Coding/ mobile/ backend/ software/ it/ Open source/ Consulting/ Android/ Investment/ Usage/ development/ web/ SIDE/ programming,Programming & Design,Bengaluru,"IT Software - Embedded , EDA , VLSI , ASIC , Chip Design","IT-Software, Software Services",Software Developer,3935
 Application Tester,3 - 8 yrs, Manual Testing/ Software Testing/ Performance Testing/ Quality Testing,Programming & Design,Chennai,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Testing Engineer,5256
 Credit Control - Manager / Asst. Manager,3 - 5 yrs, VLOOKUP/ Accounting/ HLOOKUP/ Credit Analysis/ Advanced Excel/ Credit Control/ Tally ERP/ Lookup/ Pivot Table/ Finance,,Pune,Other,"Travel , Hotels , Restaurants , Airlines , Railways",Other,3675
 Night Shift - Non Voice / Web Chat - BPO,0 - 5 yrs, e - commerce/ web chat/ bpo fresher/ international call center/ bpo/ ites/ cse/ customer service representative/ non voice process/ interpersonal skills/ international bpo/ customer service/ customer support/ kpo/ e mail/ customer care/ uk shift,Voice,"Ahmedabad,Gandhinagar,Vadodara","ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical),1738
 Sales Executive,2 - 4 yrs, Innovative/ Aggressive,Front Office/Customer Care,"Bengaluru,Hyderabad (1) ,Gurgaon,...More","Hotels , Restaurants","Travel , Hotels , Restaurants , Airlines , Railways",Front Office/Guest Relations Executive/Manager,4134
 Design Engineer Mechanical,7 - 12 yrs, Detailing/ AutoCAD/ Detail Engineering/ Microstation/ Bid Evaluation/ Material Handling/ Communication Skills/ Design Engineering,Engineering Design,Kolkata,"Engineering Design , R&D","Oil and Gas, Energy, Power, Infrastructure",Design Engineer,6330
 Android developer,1 - 3 yrs, erp/ quality/ software/ android/ design/ mvc,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,4041
 Technical Writer,4 - 7 yrs, Writing Skills/ Technical Documentation/ Technical Writing/ Articles/ Product Support,QA/Testing/Documentation,Gurgaon,"IT Software - eCommerce , Internet Technologies","IT-Software, Software Services",Technical Writer,3753
" Pro-Engineer , Matlab ,Ansys",3 - 7 yrs, Ansys/ thermal/ System design/ Electricals/ Recruitment/ MCCB/ MATLAB,Engineering Design,Hyderabad,"Engineering Design , R&D","Recruitment, Staffing",Design Engineer,2994
 Business Development Executive - Kolkata,2 - 6 yrs, Customer Service Executive/ Product placement/ Supervision/ Customer service/ Market research/ Secondary sales/ Distributor handling/ Business Development Executive,Retail Sales,Kolkata,"Sales , Retail , Business Development","Textiles, Garments, Accessories",Sales/Business Development Manager,6744
 Accountant - UK Based Accounting,1 - 6 yrs, Accounting/ Tax returns/ VAT/ SAGE/ Book Keeping/ Management accounting,Accounts,Ahmedabad,"Accounts , Finance , Tax , Company Secretary , Audit","Recruitment, Staffing",Accounts Executive/Accountant,5060
 Opportunity For Current Account RM ||bank || Delhi,2 - 7 yrs, Banking/ Accounting/ Forex/ fx/ Revenue Generation/ Trade/ Lead Generation/ Forex Trading/ Current Account,Retail Sales,Delhi NCR,"Sales , Retail , Business Development","Banking, Financial Services, Broking",Sales/Business Development Manager,6436
 PHP Developer,1 - 5 yrs, testing/ Ajax/ PHP/ MySQL/ analytical/ debugging/ jQuery/ HTML/ css/ technical/ tools/ coding/ XML/ development/ web/ Joomla/ software/ Wordpress/ Javascript/ XHTML/ design,Programming & Design,Noida,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,3541
 Senior Engineering Maintenance Manager For Knitting and ZLD System,12 - 22 yrs, zld/ Engineering Management/ knitting,Production/Manufacturing/Maintenance,Bengaluru,"Production , Manufacturing , Maintenance","Textiles, Garments, Accessories",Engineering Manager,1802
 Accounting Specialist,0 - 3 yrs, Change management/ Testing/ Managed services/ Data mining/ Analyst/ Business process mapping/ Business objects/ Executive management/ ERP/ oracle project accounting,Accounts,Pune,"Accounts , Finance , Tax , Company Secretary , Audit","IT-Software, Software Services",Accounts Executive/Accountant,4227
 Manager (Service Operation),8 - 12 yrs, Reports/ Succession Planning/ HR Policies/ Talent Acquisition/ Human Resources/ Recruitment/ Talent Management/ MIS/ ERP,HR/ Recruitment / IR,Chennai,"HR , Recruitment , Administration , IR","Construction, Engineering, Cement, Metals",Training Manager,5688
 DevOps Engineer Intern,0 - 1 yrs, DNS/ Windows/ HTTP/ Linux/ Intern/ Perl/ C++/ Unix/ IIS/ Redhat,Programming & Design,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,5179
 PHP Developer (wordpress & Woo Commerce/shopify / Magento),2 - 5 yrs, JQuery/ Ajax/ Magento/ Shopify/ C/ Wordpress/ PHP/ MySQL/ Web Development/ Woocommerce,Programming & Design,Ahmedabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,6185
 Java Developer,1 - 2 yrs, JQuery/ JSON/ CSS/ JDBC/ Singleton/ Struts/ Spring Boot/ Javascript/ HTML/ XML,Programming & Design,Mumbai,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,4877
 Sr. Manager- Business Development,15 - 22 yrs, bdm/ business development/ Business Development Management/ Tendering/ Bd/ Proposal/ Projects/ business development manager/ Marketing,Corporate Sales,Ahmedabad,"Sales , Retail , Business Development","Construction, Engineering, Cement, Metals",Sales/Business Development Manager,6269
 Test Principal Engineer,8 - 10 yrs, NMAP/ Qualys/ Ethical Hacking/ Fortify/ Vulnerability Assessment/ Nessus/ Networking Protocols/ Penetration Testing/ Certified Ethical Hacker/ Appscan,Programming & Design,Bengaluru,IT Software - QA & Testing,"IT-Software, Software Services",Testing Engineer,1586
 Graphic Designer,2 - 7 yrs, Graphics/ Business Executive/ MS Office/ Graphic designing/ adobe creative suite/ Architecture,Creative,Ahmedabad,"Design , Creative , User Experience","Architecture, Interior Design",Graphic Designer,3076
 Business Development Executive,1 - 3 yrs, Vendor/ Payment collection/ Cost/ Costing/ Lead generation/ Sales/ Business Development Executive,Corporate Sales,Bengaluru,"Sales , Retail , Business Development","Recruitment, Staffing",Sales Executive/Officer,4264
 Animation Resident,2 - 6 yrs, Internship/ Relationship building/ Social media/ Digital marketing/ Indesign/ Animation/ Senior/ Creative/ Business Executive/ Presentation skills,Advertising,Delhi,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Client Servicing Executive,2876
Enterprise Business Development Representative, 1 - 3 Years,customer satisfaction/web technologies/sales/enterprise business/market penetration/marketing/strategy/business development/aws,Channel Sales,Bengaluru,"Sales , Retail , Business Development",IT-Software / Software Services,Sales Executive / Officer,4577
 Dot Net Developer,2 - 5 yrs, testing/ database/ .net/ net asp net/ application/ git/ programming/ unit tests/ jquery/ microsoft sql server/ ado.net/ sql/ tools/ web/ software/ microsoft/ object oriented programming/ support/ design,Programming & Design,"Chennai,Gurgaon","IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,4154
" Urgent Opening for ""US Staffing Professionals"" - Noida",1 - 5 yrs, it recruiter/ us it staffing/ us staffing/ us recruiter/ recruiter/ technical recruiter/ us recruitment/ recruitment/ sourcing/ staffing/ technical recruitment/ c2c/ w2/ talent acquisition,HR/ Recruitment / IR,"Delhi NCR,Noida","HR , Recruitment , Administration , IR","Recruitment, Staffing",Recruitment Executive,2548
 Front Office Executive-Noida,1 - 2 yrs, Front Office Executive,,Noida,"Executive Assistant , Front Office , Data Entry","Recruitment, Staffing",Receptionist,2882
 Project Executive/coordinator,2 - 4 yrs, Project Administration/ Coordination,Sales Support,Delhi (Bhikaji Cama) ,"Sales , Retail , Business Development","Industrial Products, Heavy Machinery",Sales Coordinator,6053
 Sterling OMS Architect,5 - 10 yrs, OMS/ Sterling/ Sterling Commerce/ ecommerce/ E - commerce/ Sterling Integrator/ Order Management system,System Design/Implementation/ERP/CRM,Chennai,"IT Software - eCommerce , Internet Technologies","IT-Software, Software Services",Solution Architect / Enterprise Architect,1889
 Dot net Developer,3 - 5 yrs, analytical/ javascript/ net/ jquery/ database/ algorithms/ sql server/ development/ flex/ documentation/ web development/ design/ web/ mysql,Programming & Design,"Gurgaon,Gurgaon","IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,6744
 Centreless Grinding Operator ,4 - 8 yrs, NCTVT,Production/Manufacturing/Maintenance,Pune,"Production , Manufacturing , Maintenance","Internet, Ecommerce",Workman/Foreman/Technician,1586
 PHP Developer Jobs In Gurgaon - Team Lead - PHP,8 - 13 yrs, Team Leader/ MVC/ Application programming/ Wordpress/ Zend/ PHP/ MySQL/ CakePHP/ Drupal/ Software services,Programming & Design,Gurgaon,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",Software Developer,5161
 Sales Lead,3 - 7 yrs, Automation tools/ Sales process/ Analytical/ marketing automation/ Outbound/ Project management/ Sales Lead/ Sales,Retail Sales,Bengaluru,"Sales , Retail , Business Development","Internet, Ecommerce",Sales Executive/Officer,5684
 Senior Design Engineer - Manufacturing,6 - 8 yrs, FMEA/ Mechanical Engineering/ AutoCAD/ 3D Modeling/ Mechanical Design/ SolidWorks,Production/Manufacturing/Maintenance,Pune,"Production , Manufacturing , Maintenance","Industrial Products, Heavy Machinery",Design Engineer/Manager,3248
 Software Engineer Automation - Industrial Automation Job In Bangalore,3 - 5 yrs, Automation Engineer,Engineering Design,Bengaluru,"Engineering Design , R&D","Industrial Products, Heavy Machinery",Technical Lead/Project Lead,2265
 Senior Accounts Executive,4 - 8 yrs,,Accounts,Kolkata,"Accounts , Finance , Tax , Company Secretary , Audit","Recruitment, Staffing",Accounts Executive/Accountant,3724
 QA for Voice Process (LE-0097-N1C),2 - 6 yrs, Writing/ Voice process/ Verbal/ qaqc/ Process operations,Quality,Pune,"ITES , BPO , KPO , LPO , Customer Service , Operations","Internet, Ecommerce",Quality Assurance/Quality Control Executive,3930
" Senior Resident - Obs. & Gynae, Max Hospital, Gurgaon",0 - 3 yrs, Disaster Management/ Patient Care/ Process Orientation/ Medical/ Service Quality/ People Orientation/ Report Generation/ Customer Care/ Nursing,,Delhi NCR,Other,"Medical, Healthcare, Hospitals",Other,3934
 Manager/senior Manager- Analytics- Life & Annuities - Insurance Domain,4 - 9 yrs, Tableau/ Predictive Modeling/ Data Mining/ SQL/ Statistics/ Analytics/ Python/ SAS/ Data Management/ Data Analytics,Analytics & BI,Gurgaon,Analytics & Business Intelligence,"IT-Software, Software Services",Analytics Manager,6023
 Executive Medical Coder,0 - 0 yrs, nursing/ biology/ pharmacy/ Bioinformatics/ Ophthalmology/ molecular biology/ microbiology/ biomedical/ biochemistry/ micro biology/ Physiotherapy/ biotech/ medical coding/ biotechnology/ chemistry/ zoology/ Physics/ bhms,Other,"Chennai,Thanjavur,Karur,Salem,Hosur,Coimbatore","ITES , BPO , KPO , LPO , Customer Service , Operations","Medical, Healthcare, Hospitals",Trainee,4388
 Account Assistant,3 - 5 yrs, Account Assistant/ auditing/ banking/ accountant/ Bank Reconciliation/ Statutory Compliance/ Payroll/ Stock Management/ accounting/ salary processing/ gst/ taxation/ tax audit/ monthly reports/ accounts executive/ income tax/ Income Tax Return,Accounts,Pune,"Accounts , Finance , Tax , Company Secretary , Audit","Architecture, Interior Design",Accounts Executive/Accountant,2776
